"date","close","volume","open","high","low"
"2015/01/28","303.9100","3057997.0000","309.8100","311.5100","303.8000"
"2015/01/27","306.7500","2917710.0000","306.3000","310.2430","302.6250"
"2015/01/26","309.6600","3168827.0000","311.8200","313.0000","307.5201"
"2015/01/23","312.3900","4476045.0000","308.0800","316.9300","307.7200"
"2015/01/22","310.3200","5338530.0000","300.0000","312.2500","300.0000"
"2015/01/21","297.2500","10060450.0000","289.6400","306.0000","287.2600"
"2015/01/20","289.4400","3065857.0000","292.5900","293.3599","286.3900"
"2015/01/16","290.7400","3476787.0000","286.2800","290.7900","285.2500"
"2015/01/15","286.9500","4410629.0000","294.0000","295.9995","286.8150"
"2015/01/14","293.2700","5493402.0000","291.9300","295.9100","286.5030"
"2015/01/13","294.7400","4135336.0000","297.4800","301.4976","293.2300"
"2015/01/12","291.4100","3406438.0000","297.5600","298.5100","289.2810"
"2015/01/09","296.9300","2589914.0000","301.4800","302.8700","296.6800"
"2015/01/08","300.4600","3087475.0000","300.3200","303.1400","296.1100"
"2015/01/07","298.4200","2630671.0000","297.5000","301.2800","295.3300"
"2015/01/06","295.2900","3511003.0000","302.2400","303.0000","292.3800"
"2015/01/05","302.1900","2768215.0000","307.0100","308.3800","300.8500"
"2015/01/02","308.5200","2785167.0000","312.5800","314.7500","306.9601"
"2014/12/31","310.3500","2048676.0000","311.5500","312.9800","310.0100"
"2014/12/30","310.3000","2091432.0000","309.9100","313.9400","309.3400"
"2014/12/29","312.0400","2998390.0000","307.8500","314.2700","306.5800"
"2014/12/26","309.0900","2892910.0000","305.0000","310.7799","303.8100"
"2014/12/24","303.0300","1518107.0000","306.3800","307.0000","302.8750"
"2014/12/23","306.2850","2718349.0000","306.9800","307.4900","303.2520"
"2014/12/22","306.5400","3845409.0000","301.9400","307.3600","301.9400"
"2014/12/19","299.9000","8613310.0000","296.9100","301.5400","295.5200"
"2014/12/18","297.7300","7704984.0000","304.0100","304.5000","293.2500"
"2014/12/17","298.8800","4429917.0000","296.3700","299.6700","293.0300"
"2014/12/16","295.0600","6489013.0000","304.3500","304.4900","295.0100"
"2014/12/15","306.0700","3833767.0000","308.8700","310.8600","302.1500"
"2014/12/12","307.3200","3159206.0000","303.9900","310.6399","303.0100"
"2014/12/11","307.3600","3268194.0000","307.8900","312.6400","306.0100"
"2014/12/10","305.8400","3243973.0000","312.0000","313.1900","304.6800"
"2014/12/09","312.5000","4032614.0000","302.9900","313.6390","301.1400"
"2014/12/08","306.6400","3633879.0000","311.5700","316.5600","304.8210"
"2014/12/05","312.6300","3258869.0000","316.8000","316.9300","310.8400"
"2014/12/04","316.9300","3293578.0000","315.5300","318.5900","313.4700"
"2014/12/03","316.5000","5684164.0000","325.7300","326.7700","314.3600"
"2014/12/02","326.3100","2784995.0000","327.5000","327.9300","323.2500"
"2014/12/01","326.0000","4937256.0000","338.1200","340.6400","325.9300"
"2014/11/28","338.6400","3051798.0000","336.0300","341.2600","336.0300"
"2014/11/26","333.5700","1983512.0000","333.7800","334.6500","331.7500"
"2014/11/25","335.0400","2560829.0000","335.2700","336.3325","331.2800"
"2014/11/24","335.6400","2744717.0000","334.7800","337.3900","333.6000"
"2014/11/21","332.6300","4459805.0000","335.4200","338.3300","331.4700"
"2014/11/20","330.5400","3434710.0000","324.0000","332.6700","323.3300"
"2014/11/19","326.5400","3273627.0000","327.2500","328.4000","324.0200"
"2014/11/18","324.9300","3539161.0000","323.9900","329.5600","323.2500"
"2014/11/17","323.0500","4774065.0000","326.4400","328.0000","318.0300"
"2014/11/14","327.8200","8874017.0000","317.1200","332.8800","316.4010"
"2014/11/13","316.4800","3673404.0000","312.0000","317.8900","311.5100"
"2014/11/12","311.5100","2181448.0000","310.7500","312.5800","308.7900"
"2014/11/11","312.0100","3800576.0000","305.9400","312.3800","303.6460"
"2014/11/10","305.1100","2802611.0000","300.0000","305.7990","300.0000"
"2014/11/07","299.8600","2643693.0000","297.8200","299.9900","296.2900"
"2014/11/06","296.6400","3749179.0000","296.6900","297.0000","292.2900"
"2014/11/05","296.5200","4671563.0000","303.0100","304.0000","294.1600"
"2014/11/04","302.8100","3424454.0000","303.9900","304.2500","300.1700"
"2014/11/03","305.7200","3240753.0000","306.2400","308.0100","303.2400"
"2014/10/31","305.4600","4549267.0000","305.1500","305.7200","301.5000"
"2014/10/30","299.0700","4047924.0000","293.9800","299.7400","292.3600"
